,roles,companies,locations,experience,skills,skill index
1679,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,'Gurgaon',2-7 ,"['_', '_', '_', 'machine learning', '_', '_', '_', 'it skills', '_', 'python', '_', 'data science', '_', '_', '_', 'data scientist', '_']",-1.0
1680,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',6-10 ,"['_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_']",-1.0
1681,Manager - Data Scientist/Python,Huquo Consulting Pvt. Ltd,'Gurgaon',5-8 ,"['_', 'data science', '_', '_', '_', '_', '_', 'data scientist', '_', '_', '_', 'python', '_']",-1.0
1682,Data Scientist - Machine Learning,ZISPL,'Gurgaon',5-7 ,"['_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_']",-1.0
1683,Hiring For Data Analyst and Data Scientist For Gurgaon Location,Shadow Placements,"'Noida', ' Gurgaon', 'Delhi'",3-7 ,"['_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', 'data science', '_', 'r', '_', '_', '_']",-1.0
1684,"Sr. Prin, Data Scientist",BNY Mellon,'Pune',6-10 ,"['_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1685,Data Scientist,Fundnel Limited,'Mumbai',3-5 ,"['_', '_', '_', 'computer science', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1686,Data Scientist-Permanent Remote Job,Lending Tree Research Services LLP,'Remote',1-6 ,"['_', '_', '_', 'r', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1687,Resulticks Hiring - Data Scientist @ Chennai Location,RESULTICKS DIGITALS INDIA PRIVATE LIMITED,'Chennai',3-6 ,"['_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', 'data science', '_', '_', '_', '_', '_']",-1.0
1688,Data Scientist,TK INTERACTIVE PRIVATE LIMITED,'Mumbai',3-7 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
